,content,sentiment
0,Layin n bed with a headache  ughhhh...waitin on your call...,sadness
1,Funeral ceremony...gloomy friday...,sadness
3,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,worry
4,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",sadness
5,Hmmm. http://www.djhero.com/ is down,worry
6,@charviray Charlene my love. I miss you,sadness
7,@kelcouch I'm sorry  at least it's Friday?,sadness
8,Choked on her retainers,worry
9,Ugh! I have to beat this stupid song to get to the next  rude!,sadness
10,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,sadness
11,Got the news,surprise
12,The storm is here and the electricity is gone,sadness
13,@annarosekerr agreed,love
14,So sleepy again and it's not even that late. I fail once again.,sadness
15,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,worry
16,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,sadness
17,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,worry
19,I ate Something I don't know what it is... Why do I keep Telling things about food,worry
20,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,sadness
21,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,worry
22,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",sadness
23,Damm servers still down  i need to hit 80 before all the koxpers pass me,worry
24,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,sadness
25,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,worry
27,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,sadness
28,I need skott right now,worry
29,mmm much better day... so far! it's still quite early. last day of #uds,happiness
31,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,worry
32,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,worry
33,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",worry
34,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",worry
35,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,sadness
36,why am i so tired?,worry
37,sucks not being able to take days off of work or have the money to take the trip  so sad,worry
39,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",sadness
40,@itsgabbith at once haha.  poor aby still gets sore!,worry
41,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sadness
42,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,sadness
43,@Pokinatcha  in all honesty...pain   blech.,sadness
44,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,sadness
45,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,worry
46,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,sadness
47,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,worry
48,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",happiness
49,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',worry
50,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",worry
51,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",happiness
52,is sad that shin ae got married...and it wasn't to alex,worry
